Index,MeanCosineSimilarity
0,0.8251069784164429
1,0.8268632888793945
2,0.8301788568496704
3,0.8274368643760681
4,0.8291154503822327
5,0.8246035575866699
6,0.8258032202720642
7,0.8230836987495422
8,0.8245676755905151
9,0.8242083191871643
10,0.8223365545272827
11,0.8281570672988892
12,0.8298126459121704
13,0.8254395723342896
14,0.8222776651382446
15,0.8302091360092163
16,0.8217658996582031
17,0.8225031495094299
18,0.8230810165405273
19,0.8242065906524658
20,0.8251349925994873
21,0.8256692290306091
22,0.8241190314292908
23,0.8260319232940674
24,0.8264176845550537
25,0.8358893990516663
26,0.8254117965698242
27,0.8269200921058655
28,0.8301787972450256
29,0.8278927803039551
30,0.8288108706474304
31,0.8246035575866699
32,0.8254389762878418
33,0.8219005465507507
34,0.8250105977058411
35,0.8242083191871643
36,0.8229560852050781
37,0.8284822106361389
38,0.8291585445404053
39,0.8250691890716553
40,0.8222776651382446
41,0.8304452300071716
42,0.8217553496360779
43,0.8222758769989014
44,0.8229306936264038
45,0.8241657614707947
46,0.8248123526573181
47,0.8262336254119873
48,0.8241222500801086
49,0.826448380947113
50,0.8260011076927185
51,0.8358893990516663
52,0.8251440525054932
53,0.8274498581886292
54,0.8209347128868103
55,0.8253285884857178
56,0.8234053254127502
57,0.8674323558807373
58,0.8212196826934814
59,0.8386445045471191
60,0.8226646184921265
61,0.8216643929481506
62,0.8263915777206421
63,0.8203316330909729
64,0.8260188102722168
65,0.828478217124939
66,0.8224873542785645
67,0.8310912251472473
68,0.8272148370742798
69,0.827219545841217
70,0.8280830979347229
71,0.8279245495796204
72,0.8311672806739807
73,0.8171573281288147
74,0.8211338520050049
75,0.82916659116745
76,0.8286024332046509
77,0.8266513347625732
78,0.8255170583724976
79,0.8242679834365845
80,0.8223528265953064
81,0.8219660520553589
82,0.8298153877258301
83,0.8238828778266907
84,0.8239786028862
85,0.8257102966308594
86,0.8206332921981812
87,0.820965051651001
88,0.8207331299781799
89,0.8241530656814575
90,0.8264732360839844
91,0.8216889500617981
92,0.8175209164619446
93,0.8252278566360474
94,0.8266428709030151
95,0.8183116316795349
96,0.8216388821601868
97,0.8279120922088623
98,0.8229039907455444
99,0.823150098323822
100,0.8266309499740601
101,0.8219919800758362
102,0.8243224620819092
103,0.8246842622756958
104,0.8257983922958374
105,0.8283871412277222
106,0.820440948009491
107,0.8220227956771851
108,0.8169986605644226
109,0.8197729587554932
110,0.8152333498001099
111,0.8237477540969849
112,0.8262200951576233
113,0.823809802532196
114,0.822364330291748
115,0.8247520923614502
116,0.8240495324134827
117,0.8256885409355164
118,0.8265738487243652
119,0.8342589735984802
120,0.82490074634552
121,0.8246943950653076
122,0.8241347074508667
123,0.830422043800354
124,0.8281788229942322
125,0.8195821642875671
126,0.8206177949905396
127,0.8233350515365601
128,0.8241221904754639
129,0.8248859643936157
130,0.8216882348060608
131,0.8277762532234192
132,0.8295952677726746
133,0.8245764970779419
134,0.8284154534339905
135,0.8206062316894531
136,0.8268237113952637
137,0.823663055896759
138,0.8196845054626465
139,0.8175070285797119
140,0.8301315903663635
141,0.8232333660125732
142,0.8271225690841675
143,0.8263043761253357
144,0.8265765905380249
145,0.8244373798370361
146,0.8229891061782837
147,0.828269362449646
148,0.8337191343307495
149,0.8282866477966309
150,0.8208708167076111
151,0.8256787657737732
152,0.8212167620658875
153,0.8232383131980896
154,0.8309282660484314
155,0.8245273232460022
156,0.8242163062095642
157,0.8263429403305054
158,0.8337817788124084
159,0.8258534669876099
160,0.8245203495025635
161,0.8272379636764526
162,0.8222780227661133
163,0.8246409296989441
164,0.8231825828552246
165,0.8240052461624146
166,0.824184775352478
167,0.8236508369445801
168,0.8240094184875488
169,0.8241723775863647
170,0.8251813054084778
171,0.8229976296424866
172,0.8210249543190002
173,0.8232065439224243
174,0.8256698846817017
175,0.8210873007774353
176,0.8210158348083496
177,0.8275080323219299
178,0.8296698331832886
179,0.8234830498695374
180,0.8221714496612549
181,0.8233559727668762
182,0.8276625871658325
183,0.8285974264144897
184,0.8308582901954651
185,0.8220838904380798
186,0.8318905234336853
187,0.8239964842796326
188,0.8250541090965271
189,0.8282651305198669
190,0.825168788433075
191,0.8289706707000732
192,0.8243426084518433
193,0.8227072954177856
194,0.8242907524108887
195,0.8281443119049072
196,0.8229995965957642
197,0.8220484256744385
198,0.8254465460777283
199,0.8211959004402161
200,0.8248470425605774
201,0.8257903456687927
202,0.8235335946083069
203,0.8235659003257751
204,0.8258830308914185
205,0.8222900629043579
206,0.8244662284851074
207,0.8268941640853882
208,0.8250283598899841
209,0.8225273489952087
210,0.8233382105827332
211,0.825465202331543
212,0.8309593796730042
213,0.8254878520965576
214,0.822706937789917
215,0.8208832144737244
216,0.8259638547897339
217,0.8213005065917969
218,0.825054943561554
219,0.8241222500801086
220,0.8244659900665283
221,0.8221814632415771
222,0.8166257739067078
223,0.8269859552383423
224,0.8212853074073792
225,0.8249256610870361
226,0.8267105221748352
227,0.8182532787322998
228,0.8276723623275757
229,0.8234114646911621
230,0.825819194316864
231,0.8243157267570496
232,0.8277225494384766
233,0.823340892791748
234,0.815130889415741
235,0.8283277750015259
236,0.8270084857940674
237,0.8241347074508667
238,0.8252838850021362
239,0.8319724202156067
240,0.8288716077804565
241,0.8289022445678711
242,0.8217355012893677
243,0.8234791159629822
244,0.8258291482925415
245,0.823459804058075
246,0.8300176858901978
247,0.8270856738090515
248,0.8232592940330505
249,0.8278481364250183
250,0.8173390030860901
251,0.8258088231086731
252,0.822563111782074
253,0.8200761079788208
254,0.8269523978233337
255,0.8219884634017944
256,0.8286051154136658
257,0.8204665780067444
258,0.8232375383377075
259,0.8224985003471375
260,0.8287333846092224
261,0.8303433060646057
262,0.8288155198097229
263,0.8227887749671936
264,0.8338189721107483
265,0.8207115530967712
266,0.8244321942329407
267,0.8207711577415466
268,0.8210088610649109
269,0.8261560797691345
270,0.8250898718833923
271,0.8209035396575928
272,0.8253083825111389
273,0.8238133192062378
274,0.8231936693191528
275,0.82383793592453
276,0.8241222500801086
277,0.8272106051445007
278,0.8243282437324524
279,0.8228444457054138
280,0.8234423398971558
281,0.8263905644416809
282,0.8270851373672485
283,0.8361310362815857
284,0.8241222500801086
285,0.8260523676872253
286,0.8241222500801086
287,0.8274330496788025
288,0.8219674229621887
289,0.8276805281639099
290,0.8264649510383606
291,0.8190268278121948
292,0.8226450681686401
293,0.829906702041626
294,0.8254020810127258
295,0.8222677111625671
296,0.826821506023407
297,0.8265389800071716
298,0.823844313621521
299,0.82082599401474
300,0.8252221345901489
301,0.8258957266807556
302,0.8226291537284851
303,0.8228608965873718
304,0.8275732398033142
305,0.8206477165222168
306,0.8218603134155273
307,0.8224611282348633
308,0.8268598318099976
309,0.8214845061302185
310,0.8283936977386475
311,0.8218843340873718
312,0.8230425715446472
313,0.8295345306396484
314,0.8235741853713989
315,0.8172670006752014
316,0.8270825743675232
317,0.8213557004928589
318,0.8276712894439697
319,0.8243137001991272
320,0.8237916827201843
321,0.8247292637825012
322,0.827564537525177
323,0.8262558579444885
324,0.8194201588630676
325,0.8220094442367554
326,0.8279407620429993
327,0.8239529132843018
328,0.8247178792953491
329,0.8292462825775146
330,0.8220226764678955
331,0.8270896077156067
332,0.8220167756080627
333,0.8224809765815735
334,0.8239949941635132
335,0.8263219594955444
336,0.8246791958808899
337,0.8249433040618896
338,0.8321703672409058
339,0.827825129032135
340,0.8232311606407166
341,0.8237232565879822
342,0.8246082067489624
343,0.8258253335952759
344,0.819472074508667
345,0.82428377866745
346,0.8270959258079529
347,0.8258211016654968
348,0.823667049407959
349,0.8257190585136414
350,0.8299627304077148
351,0.8228015303611755
352,0.828118085861206
353,0.8216957449913025
354,0.8227370977401733
355,0.8247079253196716
356,0.8291070461273193
357,0.823002815246582
358,0.8256890773773193
359,0.8249963521957397
360,0.8203624486923218
361,0.8234934210777283
362,0.8194440007209778
363,0.8244845271110535
364,0.8301846385002136
365,0.8260506391525269
366,0.8318032622337341
367,0.8232002854347229
368,0.8204883337020874
369,0.8223962783813477
370,0.8279737830162048
371,0.8199872970581055
372,0.8183832168579102
373,0.8311330080032349
374,0.8266307711601257
375,0.8241559863090515
376,0.8245471715927124
377,0.8222135901451111
378,0.8279076814651489
379,0.8294132351875305
380,0.8247051239013672
381,0.823871910572052
382,0.8241222500801086
383,0.8259625434875488
